Mouse,GKD219,GKD310_1,GKD310_2,GKD310,GKD348,GKD176,GKD180,GKD184,GKD138,GKD139,GKD175,GKD035,GKD036_1,GKD036_2,GKD036,GKD073
main_Isocortex_VIS4,17.65679012,17.11811024,17.43167702,17.27489363,16.87811634,17.61055276,17.83113456,17.06768931,17.61661661,17.58875389,17.3844086,17.59133127,17.26075949,17.26984127,17.26530038,17.19753348
main_Isocortex_VIS5,16.91452991,16.39930471,16.85932722,16.62931596,16.91640867,16.93137141,17.20679012,16.94930463,17.41993958,17.24732842,17.09708738,17.46659032,16.20930233,16.50814332,16.35872282,16.71743997
main_Isocortex_VIS6a,16.18238994,15.80286738,15.5986852,15.70077629,16.15822785,16.11627907,16.34337809,16.46363636,16.53358209,16.51906101,16.22093023,16.82621951,15.36384059,15.68092105,15.52238082,15.61685824
main_Isocortex_VIS6b,15.3,14.75866582,14.96654275,14.86260428,15.09864354,14.92877916,15.00702839,15.25112108,15.90107796,15.48940055,15.52362458,15.95891188,14.20261438,14.96067416,14.58164427,15.43253968
main_Medulla_CU,,,14.04225352,14.04225352,15.47368421,,16.04285714,15.38281979,18.17267503,17.95744681,,16.82560484,17.15384615,16.42477876,16.78931246,16.97142857
main_Medulla_IRN,15.56651739,16.05777778,15.87817884,15.96797831,15.5106383,16.59568439,17.13333333,16.40540541,17.76068182,17.77586207,,17.87026648,17.58391608,,17.58391608,17.85185185
main_Medulla_LI,,15,14.08148148,14.54074074,14.04798515,,17.28125,15.14424411,15.64318182,,,15.83586132,16.67142857,,16.67142857,
main_Medulla_LRN,,,,,15.05030303,,16.67097701,15.38883399,15.98780488,15,16.00578582,17.34042553,15.59452055,,15.59452055,17.46444282
main_Medulla_MDRN,18.13961039,,,,15.42307692,,16.59677419,15.69230769,16.58938596,16.58823529,,17.01923077,17.60877719,,17.60877719,17.16904762
main_Medulla_MV,16.66666667,21.72463768,20.92307692,21.3238573,19.10227273,18.35135135,20.22916667,17.79166667,21.5,18.5236711,19.71538462,20.90322581,21.71428571,20.21666667,20.96547619,22.83333333
main_Medulla_MX,,,,,15.3,,16.74165824,17.00615942,17.10387776,,,17.29565217,17.03448276,17.1875,17.11099138,17.31093544
main_Medulla_PARN,,16.43095238,16.39009662,16.4105245,15.51699309,16.64082532,16.71428571,16.50862069,18.03066333,17.18819444,18.18918919,17.68181818,17.69920635,,17.69920635,18.1609408
main_Medulla_PGRNI,20.21428571,15.91428571,,15.91428571,15.41042781,,16.80952381,16.54195804,17.19565217,17.62509653,18.42917167,17.5862069,17.73770492,,17.73770492,17.2195122
main_Medulla_SPIV,14.98333333,17.77419355,17.23076923,17.50248139,16.98333333,16.66666667,18.72,16.89473684,17.17877493,17.81934732,,19.61111111,19.94097222,17.82202112,18.88149667,21.16666667
main_Medulla_SPVC,16.91325864,,,,16.2765449,,,17.39130435,16.86956522,17.68459459,17.39183087,18.03513097,19.04895105,18.75,18.89947552,
main_Medulla_SUV,,16.04166667,16.52173913,16.2817029,20.04166667,18.13203463,19.4,19.17692308,17.36826484,17,,17.96969697,19.5,16.33333333,17.91666667,19.53658537
main_Medulla_VII,,15.67164179,15.55082559,15.61123369,15.38461538,,17.3559322,17.06898585,16.91176471,17,21.33333333,17.24374609,16.85058346,,16.85058346,17.3551415
main_Midbrain_APN,15.44067797,14.975,14.97105045,14.97302523,14.31034483,15.42857143,15.29129464,15.2,16.22772277,16.35897436,17.00516913,16.44897959,17.15384615,15.54138267,16.34761441,17.01666667
main_Midbrain_CUN,,15.20162602,14.90666667,15.05414634,14.13027903,16,14.9468236,15.73529412,17.4780084,16.4901711,,17.42682927,15.19587629,16.57066052,15.88326841,16.78571429
