Mouse,GKD219,GKD310_1,GKD310_2,GKD310,GKD348,GKD176,GKD180,GKD184,GKD138,GKD139,GKD175,GKD035,GKD036_1,GKD036_2,GKD036,GKD073
main_Isocortex_MO1,77.13208516,63.65178364,53.90646667,58.77912515,70.54335731,52.51944262,56.17858333,73.45310983,71.8743871,54.8657984,67.49779978,,52.46435747,62.32986471,57.39711109,52.90150244
main_Isocortex_MO2-3,76.30309036,58.14970794,53.35532312,55.75251553,67.77913506,52.8187134,55.91855329,69.30857557,65.85917135,55.78425459,65.46346479,58.44539327,52.04789285,59.04504778,55.54647031,50.96527549
main_Isocortex_MO5,66.10251667,55.14583578,50.52442857,52.83513218,57.61830612,49.36817726,51.40422983,61.42711517,61.58841322,50.78452269,60.80379806,55.49592748,48.65365543,53.69594713,51.17480128,47.06909968
main_Isocortex_MO6a,56.16308525,50.57529082,47.61002372,49.09265727,51.98052548,47.37479916,47.79012609,52.8225019,55.33142292,46.52875568,54.21080385,51.71264533,45.12463288,48.53818871,46.83141079,43.76765641
main_Isocortex_MO6b,47.5599251,46.82874138,42.80778468,44.81826303,49.44800733,48.41946622,44.51130641,47.73922499,46.84242593,43.99889733,48.47772093,46.31139197,40.37515094,43.28835714,41.83175404,42.67317614
main_Isocortex_ORB1,74.1449338,67.5694359,64.12536116,65.84739853,70.30256164,51.32867828,60.89912859,73.2037236,74.34219545,63.65163415,71.99913295,72.42539355,50.21784574,61.48473452,55.85129013,53.30343059
main_Isocortex_ORB2-3,70.18121264,61.98994108,61.93334744,61.96164426,65.52271103,51.50773617,59.31304316,70.45702455,69.37518206,59.81758968,70.15780992,69.03925714,49.83831239,58.20633582,54.02232411,51.67603704
main_Isocortex_ORB5,59.84704784,55.30340942,54.49017895,54.89679419,56.14469749,47.96851911,51.82611,61.45133266,58.57798795,47.01970861,61.67824323,62.77098283,47.64806636,53.32652969,50.48729802,47.24301103
main_Isocortex_ORB6a,52.34500627,49.75890678,47.97505887,48.86698282,50.95882143,46.34111405,48.44506522,53.59048148,51.19109813,51.31629759,53.92123478,55.28604545,43.83158468,48.41693119,46.12425794,43.42132609
main_Isocortex_ORB6b,46.91726397,46.22679513,42.28745013,44.25712263,49.3022381,45.63200794,43.50599792,47.49019186,46.52468272,43.30934234,48.25939786,48.75017643,41.31578022,45.22129442,43.26853732,44.08932594
